GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1600000US0636448,0636448,"Indio city, California",22504,1477,13580,1408,8924,1092
1600000US0636546,0636546,"Inglewood city, California",36292,1613,11527,1230,24765,1708
1600000US0636770,0636770,"Irvine city, California",82613,2984,37707,3195,44906,3102
1600000US0637692,0637692,"Jurupa Valley city, California",23813,1382,14787,1085,9026,1131
1600000US0639496,0639496,"Lake Forest city, California",26688,1427,19201,1754,7487,1096
1600000US0639892,0639892,"Lakewood city, California",27003,1172,19148,1298,7855,1138
1600000US0640130,0640130,"Lancaster city, California",46483,1977,27997,1626,18486,1823
1600000US0641992,0641992,"Livermore city, California",29482,1417,20346,1703,9136,1166
1600000US0643000,0643000,"Long Beach city, California",164220,3709,64711,2932,99509,3836
1600000US0644000,0644000,"Los Angeles city, California",1332587,8853,489794,7653,842793,9781
1600000US0644574,0644574,"Lynwood city, California",14759,879,6685,840,8074,876
1600000US0645484,0645484,"Manteca city, California",23010,1244,12770,1490,10240,1309
1600000US0646842,0646842,"Menifee city, California",27132,1674,20385,1809,6747,961
1600000US0646898,0646898,"Merced city, California",25497,1357,12125,1423,13372,1292
1600000US0647766,0647766,"Milpitas city, California",19646,1306,12798,1253,6848,1199
1600000US0648256,0648256,"Mission Viejo city, California",33343,1615,25711,1630,7632,1083
1600000US0648354,0648354,"Modesto city, California",69451,2274,36473,2347,32978,2381
1600000US0649270,0649270,"Moreno Valley city, California",53127,2425,30016,2577,23111,1659
1600000US0649670,0649670,"Mountain View city, California",32271,1688,11593,1188,20678,1668
1600000US0650076,0650076,"Murrieta city, California",33478,2053,22933,2290,10545,1550
1600000US0650258,0650258,"Napa city, California",28062,1156,15416,1134,12646,1293
1600000US0651182,0651182,"Newport Beach city, California",36893,1679,20112,1779,16781,1809
1600000US0652526,0652526,"Norwalk city, California",27258,1428,18388,1157,8870,1248
1600000US0653000,0653000,"Oakland city, California",156482,3228,61480,2571,95002,3246
1600000US0653322,0653322,"Oceanside city, California",58115,2555,35376,2472,22739,2053
1600000US0653896,0653896,"Ontario city, California",44699,2011,23800,1944,20899,1883
1600000US0653980,0653980,"Orange city, California",42515,1628,25284,1622,17231,1566
1600000US0654652,0654652,"Oxnard city, California",50282,1869,27837,1850,22445,1724
1600000US0655156,0655156,"Palmdale city, California",40878,1815,24300,2050,16578,1387
1600000US0655282,0655282,"Palo Alto city, California",26610,1205,15165,1353,11445,1239
1600000US0656000,0656000,"Pasadena city, California",55992,2272,23127,1912,32865,2021
1600000US0656700,0656700,"Perris city, California",15834,1016,8081,1297,7753,1179
1600000US0657456,0657456,"Pittsburg city, California",19746,1174,10849,1274,8897,1046
1600000US0657792,0657792,"Pleasanton city, California",26104,1023,17750,1220,8354,1170
1600000US0658072,0658072,"Pomona city, California",38417,1480,21097,1439,17320,1529
1600000US0659444,0659444,"Rancho Cordova city, California",24202,1474,14101,1243,10101,984
1600000US0659451,0659451,"Rancho Cucamonga city, California",52957,2002,34023,2311,18934,1963
1600000US0659920,0659920,"Redding city, California",35360,1851,18437,1601,16923,1554
1600000US0659962,0659962,"Redlands city, California",25137,1790,15576,1617,9561,1194
